Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner
Seviper,Poison,73,100,60,65,298,Aromatisse,Fairy,101,72,72,29,74,1
Lunatone,Rock,90,55,65,70,280,Clefable,Fairy,95,70,73,60,243,1
Solrock,Rock,90,95,85,70,340,Clefairy,Fairy,70,45,48,35,103,1
Barboach,Water,50,48,43,60,201,Cleffa,Fairy,50,25,28,15,70,1
Whiscash,Water,110,78,73,60,321,Comfey,Fairy,51,52,90,100,215,1
Corphish,Water,43,80,65,35,223,Flab̩b̩,Fairy,44,38,39,42,83,1
Crawdaunt,Water,63,120,85,55,323,Floette,Fairy,54,45,47,52,78,1
Baltoy,Ground,40,40,55,55,190,Florges,Fairy,78,65,68,75,246,2
Claydol,Ground,60,70,105,75,310,Granbull,Fairy,90,120,75,45,260,1
Lileep,Rock,66,41,77,23,207,Milcery,Fairy,45,40,40,34,118,1
Cradily,Rock,86,81,97,43,307,Slurpuff,Fairy,82,80,86,72,239,1
Anorith,Rock,45,95,50,75,265,Snubbull,Fairy,60,80,50,30,125,1
Armaldo,Rock,75,125,100,45,345,Spritzee,Fairy,78,52,60,23,88,1
Feebas,Water,20,15,20,80,135,Swirlix,Fairy,62,48,66,49,210,2
Milotic,Water,95,60,79,81,315,Sylveon,Fairy,95,65,65,60,225,1
Castform,Normal,70,70,70,70,280,Togekiss,Fairy,85,50,95,80,240,1
Castform Sunny Form,Fire,70,70,70,70,280,Togepi,Fairy,35,20,65,20,70,1
Castform Rainy Form,Water,70,70,70,70,280,Togetic,Fairy,55,40,85,40,150,1
Castform Snowy Form,Ice,70,70,70,70,280,Xerneas,Fairy,126,131,95,99,381,2
Kecleon,Normal,60,90,70,40,260,Zacian Crowned Sword,Fairy,92,170,115,148,480,2
Shuppet,Ghost,44,75,35,45,199,Zacian Hero of Many Battles,Fairy,92,130,115,138,400,2
Banette,Ghost,64,115,65,65,309,Alcremie,Fairy,65,60,75,64,149,1
Mega Banette,Ghost,64,165,75,75,379,Aromatisse,Fairy,101,72,72,29,109,1
Duskull,Ghost,20,40,90,25,175,Clefable,Fairy,95,70,73,60,258,2
Dusclops,Ghost,40,70,130,25,265,Clefairy,Fairy,70,45,48,35,128,1
Tropius,Grass,99,68,83,51,301,Cleffa,Fairy,50,25,28,15,50,1
Chimecho,Psychic,75,50,80,65,270,Comfey,Fairy,51,52,90,100,243,1
Absol,Dark,65,130,60,75,330,Flab̩b̩,Fairy,44,38,39,42,98,1
Mega Absol,Dark,65,150,60,115,390,Floette,Fairy,54,45,47,52,123,1
Wynaut,Psychic,95,23,48,23,189,Florges,Fairy,78,65,68,75,263,2
Snorunt,Ice,50,50,50,50,200,Granbull,Fairy,90,120,75,45,280,2
Glalie,Ice,80,80,80,80,320,Milcery,Fairy,45,40,40,34,79,1
Mega Glalie,Ice,80,120,80,100,380,Slurpuff,Fairy,82,80,86,72,200,1
Spheal,Ice,70,40,50,25,185,Snubbull,Fairy,60,80,50,30,180,1
Sealeo,Ice,90,60,70,45,265,Spritzee,Fairy,78,52,60,23,153,1
Walrein,Ice,110,80,90,65,345,Swirlix,Fairy,62,48,66,49,145,1
Clamperl,Water,35,64,85,32,216,Sylveon,Fairy,95,65,65,60,221,2
Huntail,Water,55,104,105,52,316,Togekiss,Fairy,85,50,95,80,206,1
Gorebyss,Water,55,84,105,52,296,Togepi,Fairy,35,20,65,20,56,1
Relicanth,Water,100,90,130,55,375,Togetic,Fairy,55,40,85,40,130,1
Luvdisc,Water,43,30,55,97,225,Xerneas,Fairy,126,131,95,99,421,2
Bagon,Dragon,45,75,60,50,230,Zacian Crowned Sword,Fairy,92,170,115,148,525,2
Shelgon,Dragon,65,95,100,50,310,Zacian Hero of Many Battles,Fairy,92,130,115,138,475,2
Salamence,Dragon,95,135,80,100,410,Alcremie,Fairy,65,60,75,64,264,1
Mega Salamence,Dragon,95,145,130,120,490,Aromatisse,Fairy,101,72,72,29,274,1
Beldum,Steel,40,55,80,30,205,Clefable,Fairy,95,70,73,60,188,1
Metang,Steel,60,75,100,50,285,Clefairy,Fairy,70,45,48,35,48,1
Metagross,Steel,80,135,130,70,415,Cleffa,Fairy,50,25,28,15,-152,1
Mega Metagross,Steel,80,145,150,110,485,Comfey,Fairy,51,52,90,100,3,1
Regirock,Rock,80,100,200,50,430,Flab̩b̩,Fairy,44,38,39,42,63,1
Regice,Ice,80,50,100,50,280,Floette,Fairy,54,45,47,52,148,1
Registeel,Steel,80,75,150,50,355,Florges,Fairy,78,65,68,75,136,1
Latias,Dragon,80,80,90,110,360,Granbull,Fairy,90,120,75,45,330,1
Mega Latias,Dragon,80,100,120,110,410,Milcery,Fairy,45,40,40,34,159,1
Latios,Dragon,80,90,80,110,360,Slurpuff,Fairy,82,80,86,72,320,1
Mega Latios,Dragon,80,130,100,110,420,Snubbull,Fairy,60,80,50,30,220,1
Kyogre,Water,100,100,90,90,380,Spritzee,Fairy,78,52,60,23,113,1
Primal Kyogre,Water,100,150,90,90,430,Swirlix,Fairy,62,48,66,49,75,1
Groudon,Ground,100,150,140,90,480,Sylveon,Fairy,95,65,65,60,135,1
Primal Groudon,Ground,100,180,160,90,530,Togekiss,Fairy,85,50,95,80,310,1
Rayquaza,Dragon,105,150,90,95,440,Togepi,Fairy,35,20,65,20,140,1
Mega Rayquaza,Dragon,105,180,100,115,500,Togetic,Fairy,55,40,85,40,220,1
Jirachi,Steel,100,100,100,100,400,Xerneas,Fairy,126,131,95,99,251,1
Deoxys Normal Forme,Psychic,50,150,50,150,400,Zacian Crowned Sword,Fairy,92,170,115,148,450,2
Deoxys Attack Forme,Psychic,50,180,20,150,400,Zacian Hero of Many Battles,Fairy,92,130,115,138,295,1
Deoxys Defense Forme,Psychic,50,70,160,90,370,Alcremie,Fairy,65,60,75,64,194,1
Deoxys Speed Forme,Psychic,50,95,90,180,415,Aromatisse,Fairy,101,72,72,29,179,1
Turtwig,Grass,55,68,64,31,218,Clefable,Fairy,95,70,73,60,230,2
Grotle,Grass,75,89,85,36,285,Clefairy,Fairy,70,45,48,35,109,1
Torterra,Grass,95,109,105,56,365,Cleffa,Fairy,50,25,28,15,9,1
Chimchar,Fire,44,58,44,61,207,Comfey,Fairy,51,52,90,100,235,2
Monferno,Fire,64,78,52,81,275,Flab̩b̩,Fairy,44,38,39,42,85,1
Infernape,Fire,76,104,71,108,359,Floette,Fairy,54,45,47,52,94,1
Piplup,Water,53,51,53,40,197,Florges,Fairy,78,65,68,75,235,2
Prinplup,Water,64,66,68,50,248,Granbull,Fairy,90,120,75,45,264,2
Empoleon,Water,84,86,88,60,318,Milcery,Fairy,45,40,40,34,73,1
Starly,Normal,40,55,30,60,185,Slurpuff,Fairy,82,80,86,72,265,2
Staravia,Normal,55,75,50,80,260,Snubbull,Fairy,60,80,50,30,145,1
Staraptor,Normal,85,120,70,100,375,Spritzee,Fairy,78,52,60,23,93,1
Bidoof,Normal,59,45,40,31,175,Swirlix,Fairy,62,48,66,49,180,2
Bibarel,Normal,79,85,60,71,295,Sylveon,Fairy,95,65,65,60,200,1
Kricketot,Bug,37,25,41,25,128,Togekiss,Fairy,85,50,95,80,303.75,2
Kricketune,Bug,77,85,51,65,278,Togepi,Fairy,35,20,65,20,97.5,1
Shinx,Electric,45,65,34,45,189,Togetic,Fairy,55,40,85,40,90,1
Luxio,Electric,60,85,49,60,254,Xerneas,Fairy,126,131,95,99,366,2
Luxray,Electric,80,120,79,70,349,Zacian Crowned Sword,Fairy,92,170,115,148,405,2
Budew,Grass,40,30,35,55,160,Zacian Hero of Many Battles,Fairy,92,130,115,138,445,2
Roserade,Grass,60,70,65,90,285,Alcremie,Fairy,65,60,75,64,194,1
Cranidos,Rock,67,125,40,58,290,Aromatisse,Fairy,101,72,72,29,149,1
Rampardos,Rock,97,165,60,58,380,Clefable,Fairy,95,70,73,60,133,1
Shieldon,Rock,30,42,118,30,220,Clefairy,Fairy,70,45,48,35,156,1
Bastiodon,Rock,60,52,168,30,310,Cleffa,Fairy,50,25,28,15,66,1
Burmy,Bug,40,29,45,36,150,Comfey,Fairy,51,52,90,100,278.5,2
Wormadam Plant Cloak,Bug,60,59,85,36,240,Flab̩b̩,Fairy,44,38,39,42,133.5,1
Wormadam Sandy Cloak,Bug,60,79,105,36,280,Floette,Fairy,54,45,47,52,158.5,1
Wormadam Trash Cloak,Bug,60,69,95,36,260,Florges,Fairy,78,65,68,75,251.5,1
Mothim,Bug,70,94,50,66,280,Granbull,Fairy,90,120,75,45,283,2
Combee,Bug,30,30,42,70,172,Milcery,Fairy,45,40,40,34,144,1
Vespiquen,Bug,70,80,102,40,292,Slurpuff,Fairy,82,80,86,72,280,1
Pachirisu,Electric,60,45,70,95,270,Snubbull,Fairy,60,80,50,30,175,1
Buizel,Water,55,65,35,85,240,Spritzee,Fairy,78,52,60,23,148,1
Floatzel,Water,85,105,55,115,360,Swirlix,Fairy,62,48,66,49,120,1
Cherubi,Grass,45,35,45,35,160,Sylveon,Fairy,95,65,65,60,250,2
Cherrim,Grass,70,60,70,85,285,Togekiss,Fairy,85,50,95,80,280,1
Shellos,Water,76,48,48,34,206,Togepi,Fairy,35,20,65,20,92,1
Gastrodon,Water,111,83,68,39,301,Togetic,Fairy,55,40,85,40,137,1
Ambipom,Normal,75,100,66,115,356,Xerneas,Fairy,126,131,95,99,351,1
Drifloon,Ghost,90,50,34,70,244,Zacian Crowned Sword,Fairy,92,170,115,148,475,2
Drifblim,Ghost,150,80,44,80,354,Zacian Hero of Many Battles,Fairy,92,130,115,138,395,2
Buneary,Normal,55,66,44,85,250,Alcremie,Fairy,65,60,75,64,198,1
Lopunny,Normal,65,76,84,105,330,Aromatisse,Fairy,101,72,72,29,198,1
Mega Lopunny,Normal,65,136,94,135,430,Clefable,Fairy,95,70,73,60,162,1
Mismagius,Ghost,60,60,60,105,285,Clefairy,Fairy,70,45,48,35,138,1
Honchkrow,Dark,100,125,52,71,348,Cleffa,Fairy,50,25,28,15,55.5,1
Glameow,Normal,49,55,42,85,231,Comfey,Fairy,51,52,90,100,238,2
Purugly,Normal,71,82,64,112,329,Flab̩b̩,Fairy,44,38,39,42,81,1
Chingling,Psychic,45,30,50,45,170,Floette,Fairy,54,45,47,52,168,1
Stunky,Poison,63,63,47,74,247,Florges,Fairy,78,65,68,75,160,1
Skuntank,Poison,103,93,67,84,347,Granbull,Fairy,90,120,75,45,144,1
Bronzor,Steel,57,24,86,23,190,Milcery,Fairy,45,40,40,34,111,1
Bronzong,Steel,67,89,116,33,305,Slurpuff,Fairy,82,80,86,72,142,1
Bonsly,Rock,50,80,95,10,235,Snubbull,Fairy,60,80,50,30,140,1
Mime Jr.,Psychic,20,25,45,60,150,Spritzee,Fairy,78,52,60,23,188,2
Happiny,Normal,100,5,5,30,140,Swirlix,Fairy,62,48,66,49,220,2
Chatot,Normal,76,65,45,91,277,Sylveon,Fairy,95,65,65,60,220,1
Spiritomb,Ghost,50,92,108,35,285,Togekiss,Fairy,85,50,95,80,218,1
Gible,Dragon,58,70,45,42,215,Togepi,Fairy,35,20,65,20,140,1
Gabite,Dragon,68,90,65,82,305,Togetic,Fairy,55,40,85,40,220,1
Garchomp,Dragon,108,130,95,102,435,Xerneas,Fairy,126,131,95,99,451,2
Mega Garchomp,Dragon,108,170,115,92,485,Zacian Crowned Sword,Fairy,92,170,115,148,525,2
Munchlax,Normal,135,85,40,5,265,Zacian Hero of Many Battles,Fairy,92,130,115,138,390,2
Riolu,Fighting,40,70,40,60,210,Alcremie,Fairy,65,60,75,64,194,1
Lucario,Fighting,70,110,70,90,340,Aromatisse,Fairy,101,72,72,29,164,1
Mega Lucario,Fighting,70,145,88,112,415,Clefable,Fairy,95,70,73,60,153,1
Hippopotas,Ground,68,72,78,32,250,Clefairy,Fairy,70,45,48,35,126,1
Hippowdon,Ground,108,112,118,47,385,Cleffa,Fairy,50,25,28,15,6,1
Skorupi,Poison,40,50,90,65,245,Comfey,Fairy,51,52,90,100,193,1
Drapion,Poison,70,90,110,95,365,Flab̩b̩,Fairy,44,38,39,42,-17,1
Croagunk,Poison,48,61,40,50,199,Floette,Fairy,54,45,47,52,76,1
Toxicroak,Poison,83,106,65,85,339,Florges,Fairy,78,65,68,75,74,1
Carnivine,Grass,74,100,72,46,292,Granbull,Fairy,90,120,75,45,230,1
Finneon,Water,49,49,56,66,220,Milcery,Fairy,45,40,40,34,110,1
Lumineon,Water,69,69,76,91,305,Slurpuff,Fairy,82,80,86,72,251,1
Mantyke,Water,45,20,50,50,165,Snubbull,Fairy,60,80,50,30,200,2
Snover,Grass,60,62,50,40,212,Spritzee,Fairy,78,52,60,23,151,1
Abomasnow,Grass,90,92,75,60,317,Swirlix,Fairy,62,48,66,49,133,1
Mega Abomasnow,Grass,90,132,105,30,357,Sylveon,Fairy,95,65,65,60,153,1
Weavile,Dark,70,120,65,125,380,Togekiss,Fairy,85,50,95,80,250,1
Magnezone,Electric,70,70,115,60,315,Togepi,Fairy,35,20,65,20,70,1
Lickilicky,Normal,110,85,95,50,340,Togetic,Fairy,55,40,85,40,135,1
Rhyperior,Ground,115,140,130,40,425,Xerneas,Fairy,126,131,95,99,311,1
Tangrowth,Grass,100,100,125,50,375,Zacian Crowned Sword,Fairy,92,170,115,148,475,2
Electivire,Electric,75,123,67,95,360,Zacian Hero of Many Battles,Fairy,92,130,115,138,352,1
Magmortar,Fire,75,95,67,83,320,Alcremie,Fairy,65,60,75,64,169,1
Togekiss,Fairy,85,50,95,80,310,Aromatisse,Fairy,101,72,72,29,224,1
Yanmega,Bug,86,76,86,95,343,Clefable,Fairy,95,70,73,60,260,1
Leafeon,Grass,65,110,130,95,400,Clefairy,Fairy,70,45,48,35,88,1
Glaceon,Ice,65,60,110,65,300,Cleffa,Fairy,50,25,28,15,58,1
Gliscor,Ground,75,95,125,95,390,Comfey,Fairy,51,52,90,100,198,1
Mamoswine,Ice,110,130,80,80,400,Flab̩b̩,Fairy,44,38,39,42,33,1
Porygon-Z,Normal,85,80,70,90,325,Floette,Fairy,54,45,47,52,118,1
Gallade,Psychic,68,125,65,80,338,Florges,Fairy,78,65,68,75,161,1
Mega Gallade,Psychic,68,165,95,110,438,Granbull,Fairy,90,120,75,45,165,1
Probopass,Rock,60,55,145,40,300,Milcery,Fairy,45,40,40,34,104,1
Dusknoir,Ghost,45,100,135,45,325,Slurpuff,Fairy,82,80,86,72,220,1
Froslass,Ice,70,80,70,110,330,Snubbull,Fairy,60,80,50,30,140,1
Rotom,Electric,50,50,77,91,268,Spritzee,Fairy,78,52,60,23,163,1
Heat Rotom,Electric,50,65,107,86,308,Swirlix,Fairy,62,48,66,49,160,1
Wash Rotom,Electric,50,65,107,86,308,Sylveon,Fairy,95,65,65,60,220,1
Frost Rotom,Electric,50,65,107,86,308,Togekiss,Fairy,85,50,95,80,180,1
Fan Rotom,Electric,50,65,107,86,308,Togepi,Fairy,35,20,65,20,75,1
Mow Rotom,Electric,50,65,107,86,308,Togetic,Fairy,55,40,85,40,90,1
Uxie,Psychic,75,75,130,95,375,Xerneas,Fairy,126,131,95,99,376,2
Mesprit,Psychic,80,105,105,80,370,Zacian Crowned Sword,Fairy,92,170,115,148,472.5,2
Azelf,Psychic,75,125,70,115,385,Zacian Hero of Many Battles,Fairy,92,130,115,138,350,1
Dialga,Steel,100,120,120,90,430,Alcremie,Fairy,65,60,75,64,24,1
Palkia,Water,90,120,100,100,410,Aromatisse,Fairy,101,72,72,29,154,1
Heatran,Fire,91,90,106,77,364,Clefable,Fairy,95,70,73,60,208,1
Regigigas,Normal,110,160,110,100,480,Clefairy,Fairy,70,45,48,35,38,1
Giratina Altered Forme,Ghost,150,100,120,90,460,Cleffa,Fairy,50,25,28,15,18,1
Giratina Origin Forme,Ghost,150,120,100,90,460,Comfey,Fairy,51,52,90,100,173,1
Cresselia,Psychic,120,70,120,85,395,Flab̩b̩,Fairy,44,38,39,42,93,1
Phione,Water,80,80,80,80,320,Floette,Fairy,54,45,47,52,118,1
Manaphy,Water,100,100,100,100,400,Florges,Fairy,78,65,68,75,186,1
Darkrai,Dark,70,90,90,125,375,Granbull,Fairy,90,120,75,45,285,1
Shaymin Land Forme,Grass,100,100,100,100,400,Milcery,Fairy,45,40,40,34,59,1
Shaymin Sky Forme,Grass,100,103,75,127,405,Slurpuff,Fairy,82,80,86,72,217,1
Arceus,Normal,120,120,120,120,480,Snubbull,Fairy,60,80,50,30,100,1
Victini,Psychic,100,100,100,100,400,Spritzee,Fairy,78,52,60,23,113,1
Snivy,Grass,45,45,55,63,208,Swirlix,Fairy,62,48,66,49,180,1
Servine,Grass,60,60,75,83,278,Sylveon,Fairy,95,65,65,60,225,1
Serperior,Grass,75,75,95,113,358,Togekiss,Fairy,85,50,95,80,272.5,1
Tepig,Fire,65,63,45,45,218,Togepi,Fairy,35,20,65,20,77,1
Pignite,Fire,90,93,55,55,293,Togetic,Fairy,55,40,85,40,127,1
Emboar,Fire,110,123,65,65,363,Xerneas,Fairy,126,131,95,99,328,1
Oshawott,Water,55,55,45,45,200,Zacian Crowned Sword,Fairy,92,170,115,148,470,2
Dewott,Water,75,75,60,60,270,Zacian Hero of Many Battles,Fairy,92,130,115,138,400,2
Samurott,Water,95,100,85,70,350,Alcremie,Fairy,65,60,75,64,164,1
Patrat,Normal,45,55,39,42,181,Aromatisse,Fairy,101,72,72,29,219,2
Watchog,Normal,60,85,69,77,291,Clefable,Fairy,95,70,73,60,213,1
Lillipup,Normal,45,60,45,55,205,Clefairy,Fairy,70,45,48,35,138,1
Herdier,Normal,65,80,65,60,270,Cleffa,Fairy,50,25,28,15,38,1
Stoutland,Normal,85,110,90,80,365,Comfey,Fairy,51,52,90,100,183,1
Purrloin,Dark,41,50,37,66,194,Flab̩b̩,Fairy,44,38,39,42,138,1
Liepard,Dark,64,88,50,106,308,Floette,Fairy,54,45,47,52,154,1
Pansage,Grass,50,53,48,64,215,Florges,Fairy,78,65,68,75,233,2
Simisage,Grass,75,98,63,101,337,Granbull,Fairy,90,120,75,45,232,1
Pansear,Fire,50,53,48,64,215,Milcery,Fairy,45,40,40,34,106,1
Simisear,Fire,75,98,63,101,337,Slurpuff,Fairy,82,80,86,72,222,1
Panpour,Water,50,53,48,64,215,Snubbull,Fairy,60,80,50,30,167,1
Simipour,Water,75,98,63,101,337,Spritzee,Fairy,78,52,60,23,115,1
Munna,Psychic,76,25,45,24,170,Swirlix,Fairy,62,48,66,49,200,2
Musharna,Psychic,116,55,85,29,285,Sylveon,Fairy,95,65,65,60,230,1
Pidove,Normal,50,55,50,43,198,Togekiss,Fairy,85,50,95,80,255,2
Tranquill,Normal,62,77,62,65,266,Togepi,Fairy,35,20,65,20,63,1
Unfezant,Normal,80,115,80,93,368,Togetic,Fairy,55,40,85,40,105,1
Blitzle,Electric,45,60,32,76,213,Xerneas,Fairy,126,131,95,99,391,2
Zebstrika,Electric,75,100,63,116,354,Zacian Crowned Sword,Fairy,92,170,115,148,425,2
Roggenrola,Rock,55,75,85,15,230,Zacian Hero of Many Battles,Fairy,92,130,115,138,400,2
Boldore,Rock,70,105,105,20,300,Alcremie,Fairy,65,60,75,64,159,1
Gigalith,Rock,85,135,130,25,375,Aromatisse,Fairy,101,72,72,29,139,1
Woobat,Psychic,65,45,43,72,225,Clefable,Fairy,95,70,73,60,253,2
Swoobat,Psychic,67,57,55,114,293,Clefairy,Fairy,70,45,48,35,141,1
Drilbur,Ground,60,85,40,68,253,Cleffa,Fairy,50,25,28,15,33,1
Excadrill,Ground,110,135,60,88,393,Comfey,Fairy,51,52,90,100,158,1
Audino,Normal,103,60,86,50,299,Flab̩b̩,Fairy,44,38,39,42,103,1
Mega Audino,Normal,103,60,126,50,339,Floette,Fairy,54,45,47,52,138,1
Timburr,Fighting,75,80,55,35,245,Florges,Fairy,78,65,68,75,206,1
Gurdurr,Fighting,85,105,85,40,315,Granbull,Fairy,90,120,75,45,225,1
Conkeldurr,Fighting,105,140,95,45,385,Milcery,Fairy,45,40,40,34,19,1
Tympole,Water,50,50,40,64,204,Slurpuff,Fairy,82,80,86,72,270,2
Palpitoad,Water,75,65,55,69,264,Snubbull,Fairy,60,80,50,30,155,1
Seismitoad,Water,105,95,75,74,349,Spritzee,Fairy,78,52,60,23,118,1
Throh,Fighting,120,100,85,45,350,Swirlix,Fairy,62,48,66,49,125,1
Sawk,Fighting,75,125,75,85,360,Sylveon,Fairy,95,65,65,60,160,1
Sewaddle,Bug,45,53,70,42,210,Togekiss,Fairy,85,50,95,80,296.75,2
Swadloon,Bug,55,63,90,42,250,Togepi,Fairy,35,20,65,20,108.5,1
Leavanny,Bug,75,103,80,92,350,Togetic,Fairy,55,40,85,40,194.25,1
Venipede,Bug,30,45,59,57,191,Xerneas,Fairy,126,131,95,99,428.5,2
Whirlipede,Bug,40,55,99,47,241,Zacian Crowned Sword,Fairy,92,170,115,148,511.25,2
Scolipede,Bug,60,100,89,112,361,Zacian Hero of Many Battles,Fairy,92,130,115,138,425,2
Cottonee,Grass,40,27,60,66,193,Alcremie,Fairy,65,60,75,64,237,2
Whimsicott,Grass,60,67,85,116,328,Aromatisse,Fairy,101,72,72,29,207,1
Petilil,Grass,45,35,50,30,160,Clefable,Fairy,95,70,73,60,263,2
Lilligant,Grass,70,60,75,90,295,Clefairy,Fairy,70,45,48,35,138,1
Basculin Red-Striped Form,Water,70,92,65,98,325,Cleffa,Fairy,50,25,28,15,26,1
Basculin Blue-Striped Form,Water,70,92,65,98,325,Comfey,Fairy,51,52,90,100,201,1
Sandile,Ground,50,72,35,65,222,Flab̩b̩,Fairy,44,38,39,42,91,1
Krokorok,Ground,60,82,45,74,261,Floette,Fairy,54,45,47,52,116,1
Krookodile,Ground,95,117,80,92,384,Florges,Fairy,78,65,68,75,169,1
Darumaka,Fire,70,90,45,50,255,Granbull,Fairy,90,120,75,45,240,1
Galarian Darumaka,Ice,70,90,45,50,255,Milcery,Fairy,45,40,40,34,69,1
Darmanitan Standard Mode,Fire,105,140,55,95,395,Slurpuff,Fairy,82,80,86,72,180,1
Darmanitan Zen Mode,Fire,105,30,105,55,295,Snubbull,Fairy,60,80,50,30,190,1
Darmanitan Galarian Standard Mode,Ice,105,140,55,95,395,Spritzee,Fairy,78,52,60,23,73,1
Darmanitan Galarian Zen Mode,Ice,105,160,55,135,455,Swirlix,Fairy,62,48,66,49,65,1
Maractus,Grass,75,86,67,60,288,Sylveon,Fairy,95,65,65,60,199,1
Dwebble,Bug,50,65,85,55,255,Togekiss,Fairy,85,50,95,80,293.75,2
Crustle,Bug,70,105,125,45,345,Togepi,Fairy,35,20,65,20,87.5,1
Scraggy,Dark,50,75,70,48,243,Togetic,Fairy,55,40,85,40,182.5,1
Scrafty,Dark,65,90,115,58,328,Xerneas,Fairy,126,131,95,99,406,2
Sigilyph,Psychic,72,58,80,97,307,Zacian Crowned Sword,Fairy,92,170,115,148,496,2
Yamask,Ghost,38,30,85,30,183,Zacian Hero of Many Battles,Fairy,92,130,115,138,445,2
Galarian Yamask,Ground,38,55,85,30,208,Alcremie,Fairy,65,60,75,64,209,2
Cofagrigus,Ghost,58,50,145,30,283,Aromatisse,Fairy,101,72,72,29,224,1
Tirtouga,Water,54,78,103,22,257,Clefable,Fairy,95,70,73,60,220,1
Carracosta,Water,74,108,133,32,347,Clefairy,Fairy,70,45,48,35,90,1
Archen,Rock,55,112,45,70,282,Cleffa,Fairy,50,25,28,15,6,1
Archeops,Rock,75,140,65,110,390,Comfey,Fairy,51,52,90,100,153,1
Trubbish,Poison,50,50,62,65,227,Flab̩b̩,Fairy,44,38,39,42,63,1
Garbodor,Poison,80,95,82,75,332,Floette,Fairy,54,45,47,52,8,1
Zorua,Dark,40,65,40,65,210,Florges,Fairy,78,65,68,75,253.5,2
Zoroark,Dark,60,105,60,105,330,Granbull,Fairy,90,120,75,45,277.5,1
Minccino,Normal,55,50,40,75,220,Milcery,Fairy,45,40,40,34,109,1
Cinccino,Normal,75,95,60,115,345,Slurpuff,Fairy,82,80,86,72,225,1
Gothita,Psychic,45,30,50,45,170,Snubbull,Fairy,60,80,50,30,190,2
Gothorita,Psychic,60,45,70,55,230,Spritzee,Fairy,78,52,60,23,168,1
Gothitelle,Psychic,70,55,95,65,285,Swirlix,Fairy,62,48,66,49,170,1
Solosis,Psychic,45,30,40,20,135,Sylveon,Fairy,95,65,65,60,255,2
Duosion,Psychic,65,40,50,30,185,Togekiss,Fairy,85,50,95,80,270,2
Reuniclus,Psychic,110,65,75,30,280,Togepi,Fairy,35,20,65,20,75,1
Ducklett,Water,62,44,50,55,211,Togetic,Fairy,55,40,85,40,176,1
Swanna,Water,75,87,63,98,323,Xerneas,Fairy,126,131,95,99,364,2
Vanillite,Ice,36,50,50,44,180,Zacian Crowned Sword,Fairy,92,170,115,148,500,2
Vanillish,Ice,51,65,65,59,240,Zacian Hero of Many Battles,Fairy,92,130,115,138,410,2
Vanilluxe,Ice,71,95,85,79,330,Alcremie,Fairy,65,60,75,64,169,1
Deerling,Normal,60,60,50,75,245,Aromatisse,Fairy,101,72,72,29,214,1
Sawsbuck,Normal,80,100,70,95,345,Clefable,Fairy,95,70,73,60,198,1
Emolga,Electric,55,75,60,103,293,Clefairy,Fairy,70,45,48,35,123,1
Karrablast,Bug,50,75,45,60,230,Cleffa,Fairy,50,25,28,15,80.5,1
Escavalier,Bug,70,135,105,20,330,Comfey,Fairy,51,52,90,100,225.5,1
Foongus,Grass,69,55,45,15,184,Flab̩b̩,Fairy,44,38,39,42,108,1
Amoonguss,Grass,114,85,70,30,299,Floette,Fairy,54,45,47,52,113,1
Frillish,Water,55,40,50,40,185,Florges,Fairy,78,65,68,75,246,2
Jellicent,Water,100,60,70,60,290,Granbull,Fairy,90,120,75,45,270,1
Alomomola,Water,165,75,80,65,385,Milcery,Fairy,45,40,40,34,84,1
Joltik,Bug,50,47,50,65,212,Slurpuff,Fairy,82,80,86,72,296.5,2
Galvantula,Bug,70,77,60,108,315,Snubbull,Fairy,60,80,50,30,181.5,1
Ferroseed,Grass,44,50,91,10,195,Spritzee,Fairy,78,52,60,23,163,1
Ferrothorn,Grass,74,94,131,20,319,Swirlix,Fairy,62,48,66,49,131,1
Klink,Steel,40,55,70,30,195,Sylveon,Fairy,95,65,65,60,175,1
Klang,Steel,60,80,95,50,285,Togekiss,Fairy,85,50,95,80,150,1
Klinklang,Steel,60,100,115,90,365,Togepi,Fairy,35,20,65,20,-60,1
Tynamo,Electric,35,55,40,60,190,Togetic,Fairy,55,40,85,40,110,1
Eelektrik,Electric,65,85,70,40,260,Xerneas,Fairy,126,131,95,99,366,2
Eelektross,Electric,85,115,80,50,330,Zacian Crowned Sword,Fairy,92,170,115,148,410,2
Elgyem,Psychic,55,55,55,30,195,Zacian Hero of Many Battles,Fairy,92,130,115,138,420,2
Beheeyem,Psychic,75,75,75,40,265,Alcremie,Fairy,65,60,75,64,189,1
Litwick,Ghost,50,30,55,20,155,Aromatisse,Fairy,101,72,72,29,244,2
Lampent,Ghost,60,40,60,55,215,Clefable,Fairy,95,70,73,60,258,2
Chandelure,Ghost,60,55,90,80,285,Clefairy,Fairy,70,45,48,35,143,1
Axew,Dragon,46,87,60,57,250,Cleffa,Fairy,50,25,28,15,118,1
Fraxure,Dragon,66,117,70,67,320,Comfey,Fairy,51,52,90,100,293,1
Haxorus,Dragon,76,147,90,97,410,Flab̩b̩,Fairy,44,38,39,42,163,1
Cubchoo,Ice,55,70,40,40,205,Floette,Fairy,54,45,47,52,128,1
